City,State,Zip,Country
Iida-shi,Nagano,395-0153,Japan
Ina-shi,Nagano,396-0023,Japan
Suwa-shi,Nagano,392-0013,Japan
Saku-shi,Nagano,385-0051,Japan
Ueda-shi,Nagano,386-0003,Japan
Matsumoto,Nagano,399-0033,Japan
Nagano-shi,Nagano,381-0025,Japan
Kitami-shi,Hokkaido,099-0878,Japan
Kushiro-shi,Hokkaido,084-0912,Japan
Kagoshima-shi,Kagoshima,890-0033,Japan
Kanazawa-shi,Ishikawa,920-3134,Japan
Kumamoto-shi,Kumamoto,862-0967,Japan
Mimata,Miyazaki,889-1914,Japan
Miyazaki-shi,Miyazaki,880-0211,Japan
Wakayama-shi,Wakayama,640-8341,Japan
Nagaoka-shi,Niigata,940-2112,Japan
Iwafume-gun,Niigata,959-3241,Japan
Niigata-shi,Niigata,950-1126,Japan
Sanjyo-shi,Niigata,955-0046,Japan
Jyoetsu-shi,Niigata,943-0821,Japan
Tokamachi-shi,Niigata,948-0073,Japan
Kochi-shi,Kochi,783-0052,Japan
Izumoshi,Shimane,693-0053,Japan
Hamada-shi,Shimane,697-0034,Japan
Yonago-shi,Tottori,683-0853,Japan
Shunan,Yamaguchi,745-0063,Japan
Yashio-shi,Saitama,340-0834,Japan
Higashi Matsuyama,Saitama,355-0072,Japan
Hachioji-shi,Tokyo,192-0063,Japan
Kodaira-shi,Tokyo,187-0013,Japan
Isehara-shi,Kanagawa,259-1121,Japan
Minato-ku,Tokyo,108-0075,Japan
Yokohama-shi,Kanagawa,221-0024,Japan
Futtsu-shi,Chiba,293-0043,Japan
Odawara-shi,Kanagawa,256-0812,Japan
Yokosuka-shi,Kanagawa,238-0023,Japan
Tateyama-shi,Chiba,294-0045,Japan
Ryutsu Center Minami,Iwate,020-0891,Japan
Kuji-shi,Iwate,028-0071,Japan
Oshu-Shi,Iwate,023-0841,Japan
Hanamaki-shi,Iwate,025-0024,Japan
Hokuto,Hokkaido,041-1215,Japan
Fukuyama-shi,Hiroshima,721-0964,Japan
Hiroshima-shi,Hiroshima,734-0013,Japan
Hachinohe-shi,Aomori,039-1164,Japan
Yonezawa-shi,Yamagata,992-0021,Japan
Shinjo-shi,Yamagata,996-0041,Japan
Sakata-shi,Yamagata,998-0851,Japan
Yamagata-shi,Yamagata,990-0024,Japan
Tosu-shi,Saga,841-0042,Japan
Kita Kyushu-shi,Fukuoka,802-0072,Japan
Fukuoka-shi,Fukuoka,813-0023,Japan
Fukuroi-shi,Shizuoka,437-0056,Japan
Shizuoka-shi,Shizuoka,424-0064,Japan
Nishi Shirakawa-gun,Fukushima ,969-0206,Japan
Iwaki-shi,Fukushima ,973-8409,Japan
Minami soma,Fukushima ,975-0076,Japan
Sukagawa-shi,Fukushima ,962-0403 ,Japan
Onuma-gun,Fukushima ,969-6207,Japan
Minamiaizu-gun,Fukushima ,967-0004,Japan
Tamura-gun,Fukushima ,963-7732,Japan
Fukushima-shi,Fukushima ,960-8164,Japan
Sabae-shi,Fukui,916-0016,Japan
Tomakomai-shi,Hokkaido,053-0053?,Japan
Muroran-shi,Hokkaido,050-0075,Japan
Abuta-gun,Hokkaido,044-0051 ,Japan
Yokote-shi,Akita,013-0008,Japan
Senboku-gun,Akita,019-1404,Japan
Akita-shi,Akita,011-0901,Japan
Mutsu-shi,Aomori,035-0011,Japan
Goshogawara-shi,Aomori,037-0202,Japan
Kamikita-gun,Aomori,039-2666,Japan
Hirosaki-shi,Aomori,036-8083,Japan
Aomori-shi,Aomori,030-0946,Japan
Wakkanai,Hokkaido,097-0011,Japan
Takikawa-shi,Hokkaido,073-0004,Japan
Kamikawa-gun,Hokkaido,071-1247 ,Japan
Busan,,617-050,Korea
Yongin-si,,446-904,Korea
Seoul,,157-847,Korea
Hawally,,,Kuwait
Al-Ardiya,Al Farwaniyah Governorate,,Kuwait
Macau,Macau,100,Macau
Seremban,Negeri Sembilan,70300,Malaysia
Klia,Pahang,64000,Malaysia
 Il Moll Tal Hatab,Marsa,MRS1440,Malta
Nuevo Laredo,Tamaulipas,88190,Mexico
Zamora,Michoacan,59690,Mexico
Manzanillo,Colima,28210,Mexico
Zacatecas,Zacatecas,98600,Mexico
Villahermosa,Tabasco,86010,Mexico
Veracruz,Veracruz,91697,Mexico
Torreon,Coahuila,27010,Mexico
Tepic,Tepic,,Mexico
Tijuana,BC Norte,22500,Mexico
Tuxtla Gutierrez,Chiapas,29050,Mexico
Tapachula,Chiapas,30780,Mexico
Tampico,Tmaulipas,89339,Mexico
San Luis Potosi,SLP,78395,Mexico
Queretaro,Queretaro,76154,Mexico
Pachuca,Hildago,42080,Mexico
Puebla,Puebla,72100,Mexico
Oaxaca,Oaxaca,70430,Mexico
Nogales,Sonora,84000,Mexico
Nuevo Laredo,Tamaulipas,88260,Mexico
Mazatlan,Sinaloa,82190,Mexico
Mexicali,Baja California Norte,21190,Mexico
Monterrey,Nuevo Leon,64350,Mexico
Coatzacoalcos,Veracruz,96536,Mexico
Morelia,Morelia,58000,Mexico
Merida,Yucatan,97390,Mexico
Ciudad de Mexico,D.F.,2120,Mexico
Matamoros,Tamaulipas,87394,Mexico
Hermosillo,Sonora,83220,Mexico
Tlaquepaque,Jalisco,45610,Mexico
Durango,Durango,34220,Mexico
Cuernavaca,Morelos,62579,Mexico
Chihuahua,Chihuahua,31136,Mexico
Cancun,Quintana Roo,77500,Mexico
Culiacan,Sinaloa,60450,Mexico
Chetumal,Quintana Roo,77000,Mexico
Campeche,Campeche,24070,Mexico
Cd. Del Carmen,Campeche,24150,Mexico
Cd. Juarez,Chihuahua,32670,Mexico
Cd. Obregon,Sonora,85000,Mexico
Leon,Guanajuato,37290,Mexico
Aguascalientes,Aguascalientes,20290,Mexico
Acapulco,GRO,76805,Mexico
Casablanca,,20100,Morocco
Rozenburg,NH,3181,Netherlands
Sockburn,Christchurch,8023,New Zealand
Ngauranga,Wellington,6035,New Zealand
Manukau,Auckland,2022,New Zealand
Managua,Managua,,Nicaragua
Oslo,,580,Norway
Muscat,,,Oman
Lima,Lima,1,Peru
Paranaque,Paranaque,1700,Philippines
Mandaue City,Cebu,6014,Philippines
Wroclaw,Poland,52-404,Poland
Warsaw,Warsaw,,Poland
Moreira da Maia,,4470-600,Portugal
Lisboa,,1100-287,Portugal
San Juan,San Juan,923,Puerto Rico
Doha,Doha,,Qatar
Saint-Petersburg,,194,Russia
Podolsk,Moscow,142101,Russia
Riyadh,Riyadh,11195,Saudi Arabia
Ar Riyad,,13311,Saudi Arabia
Jeddah,,21433,Saudi Arabia
Jiddah,,23531,Saudi Arabia
Singapore,,498827,Singapore
Ljubljana,,1511,Slovenia
Kempton Park,Gauteng,,South Africa
Cape Town,Western Cape,7525,South Africa
La Coruna,,15190,Spain
Coslada,Madrid,28821,Spain
Las Palmas de Gran Canaria,Gran Canaria,35008,Spain
Bilbao,Vizcaya,48015,Spain
Hospitalet de Llobregat,,8960,Spain
Colombo,Sri Lanka,1300,Sri Lanka
St Thomas,,,St Thomas
Skarholmen,,127 39,Sweden
Sundsvall,Vasternorrlands lan,85650,Sweden
Hisings Backa,,422 46,Sweden
Embraport,Embrach,8423,Switzerland
Geneva,,1202,Switzerland
Pratteln,,4133,Switzerland
Dayuan,Taoyuan,337,Taiwan
Taiwan,Taoyuan,337,Taiwan
Prawet ,Bangkok,10250,Thailand
Istanbul,Istanbul,34782,Turkey
Antalya,,7130,Turkey
Dubai,Dubai,,UAE
Dubai,Dubai,,UAE
Sunbury,Middlesex,TW167DX,United Kingdom
Edinburgh,Edinburgh,EH51RS,United Kingdom
Leeds,Leeds,LS270EL,United Kingdom
Bristol,Bristol,BS3 4DJ,United Kingdom
Lemington,Newcastle Upon Tyne,NE158SG,United Kingdom
Birmingham,Birmingham,B7 5QT,United Kingdom
Crumlin,Belfast,BT294JP,United Kingdom
St Saviour,Jersey,JE2 7JQ,United Kingdom
St Peter Port,Guernsey,GY1 2BH,United Kingdom
Sunbury,Middlesex,TW167DX,United Kingdom
Basildon,Essex,SS14 3DX,United Kingdom
Thetford,Norfolk,IP24 3RL,United Kingdom
Southampton,Southampton,SO17 3SD,United Kingdom
Washington,Tyne and Wear,NE38 0AD,United Kingdom
Stretford,Manchester,M17 1AY,United Kingdom
Manchester,Wythenshawe,M23 9PH,United Kingdom
Milton Keynes,Milton Keynes,MK14 6GD,United Kingdom
Hatfield,,AL10 8BJ,United Kingdom
London,London,EC2A 3NN,United Kingdom
Colnbrook,Colnbrook,SL3 ONJ,United Kingdom
Feltham,Greater London,TW148RS,United Kingdom
Crawley,West Sussex,RH10 9FZ,United Kingdom
Maidstone,Kent,ME15 9YT,United Kingdom
Doncaster,South Yorkshire,DN6 7BH,United Kingdom
Leeds,West Yorkshire,LS9 0SJ,United Kingdom
Glasgow,Lanarkshire,ML5 4NS,United Kingdom
Nottingham,Nottingham,NG6 0DW,United Kingdom
Livingston,West Lothian,EH54 5QS,United Kingdom
London,London,EC4M 7RT,United Kingdom
Cardiff,Cardiff,CF11 8TT,United Kingdom
Coventry,West Midlands,CV6 5RY,United Kingdom
Bristol,Bristol,BS5 7DR,United Kingdom
Shirley,West Midlands,B90 4NZ,United Kingdom
Antrim,Antrim,BT41 4LY,United Kingdom
